Company name,Street address,City,State,Zip,County,Mailing Address,Mailing City,Mailing State,Mailing Zip,Phone,Web Address,Contact Email,Headquarters,Year Founded,Services Offered,Firm Characteristics,Ownership Type,Employees Local,Employees Statewide,Employees Worldwide,Universal Employees,Revenue volume 2021 Companywide,Revenue volume 2020,Universal Revenue,Leadership Executive(s)First name,Leadership Executive(s)Middle Name,Leadership Executive(s)Last name,Leadership Executive(s)Suffix,Leadership Executive(s)Title,Leadership Executive(s)Email,Leadership Executive(s)Phone,Footnotes
F. M. Kirby Foundation,17 DeHart St.,Morristown,New Jersey,07960,Morris,P.O. Box 151,,,,(973) 538-4800,fmkirbyfoundation.org,,,1931,"The F. M. Kirby Foundation is headquartered in Morristown, New Jersey. Endowed in 1931 by Fred Morgan Kirby, one of the founders of the F.W. Woolworth",,Nonprofit,,,,6,,,12000000,S. Dillard,,Kirby,,President,,,"Universal Employees: Source: # Employees, Statewide (2023);  Universal Revenue: Source: Revenue volume (2022)"
F. M. Kirby Foundation,17 DeHart St.,Morristown,New Jersey,07960,Morris,P.O. Box 151,,,,(973) 538-4800,fmkirbyfoundation.org,,,1931,"The F. M. Kirby Foundation is headquartered in Morristown, New Jersey. Endowed in 1931 by Fred Morgan Kirby, one of the founders of the F.W. Woolworth",,Nonprofit,,,,6,,,12000000,Justin,J.,Kiczek,,Exec. Director,jjk@fmkirby.com,,"Universal Employees: Source: # Employees, Statewide (2023);  Universal Revenue: Source: Revenue volume (2022)"
F. M. Kirby Foundation,17 DeHart St.,Morristown,New Jersey,07960,Morris,P.O. Box 151,,,,(973) 538-4800,fmkirbyfoundation.org,,,1931,"The F. M. Kirby Foundation is headquartered in Morristown, New Jersey. Endowed in 1931 by Fred Morgan Kirby, one of the founders of the F.W. Woolworth",,Nonprofit,,,,6,,,12000000,Diana,L.,Kostas,,Invest.Committee Chair,dlk@fmkirby.com,(973) 538-4800,"Universal Employees: Source: # Employees, Statewide (2023);  Universal Revenue: Source: Revenue volume (2022)"
Fair Lawn Chamber of Commerce,8-01 Fair Lawn Ave.,Fair Lawn,New Jersey,07410,Bergen,,,,,(201) 796-7050,www.fairlawnchamber.org,info@fairlawnchamber.org,,1954,,,,,,,,,,,Toni,,DeLisi,,Executive Director,info@fairlawnchamber.org,201-796-7050,
Fairleigh Dickinson University -- Florham Campus,1000 River Road,Teaneck,New Jersey,07666,Morris,,,,,(201) 692-2000,www.fdu.edu,,,1942,"Fairleigh Dickinson University offers over 100 undergraduate and graduate degree programs, including doctoral programs in pharmacy, nursing practice,",,Nonprofit,,,,,,,,Michael,J.,Avaltroni,,President,mavaltro@fdu.edu,,
Fairleigh Dickinson University -- Florham Campus,1000 River Road,Teaneck,New Jersey,07666,Morris,,,,,(201) 692-2000,www.fdu.edu,,,1942,"Fairleigh Dickinson University offers over 100 undergraduate and graduate degree programs, including doctoral programs in pharmacy, nursing practice,",,Nonprofit,,,,,,,,Pierre,,Balthazard,,,pierre_balthazard86@fdu.edu,,
Fairleigh Dickinson University -- Metropolitan Campus,1000 River Road,Teaneck,New Jersey,07666,Bergen,,,,,(201) 692-2000,www.fdu.edu,,,1942,,,Nonprofit,,,,,,,,Michael,J.,Avaltroni,,President,mavaltro@fdu.edu,,
Fairleigh Dickinson University -- Metropolitan Campus,1000 River Road,Teaneck,New Jersey,07666,Bergen,,,,,(201) 692-2000,www.fdu.edu,,,1942,,,Nonprofit,,,,,,,,Joseph,,Kiernan,,Interim University Provost and Senior Vice President for Academic Affairs,,,
Fairleigh Dickinson University -- Metropolitan Campus,1000 River Road,Teaneck,New Jersey,07666,Bergen,,,,,(201) 692-2000,www.fdu.edu,,,1942,,,Nonprofit,,,,,,,,Pierre,,Balthazard,,,pierre_balthazard86@fdu.edu,,
The Falcon Group,95 Mount Bethel Road,Warren,New Jersey,07052,Somerset,95 Mount Bethel Road,Warren,New Jersey,07059,(908) 595-0050,www.thefalcongroup.us,info@thefalcongroup.us,Warren,1997,"Engineering, Architecture, Capital Reserve Specialists",,Private,,55,,140,22400000,19308090,26600000,Sinisa,,Kolar,,Principal,SKolar@thefalcongroup.us,,Universal Employees: Source: # Employees (2023);  Universal Revenue: Source: Revenue volume (2022)
The Falcon Group,95 Mount Bethel Road,Warren,New Jersey,07052,Somerset,95 Mount Bethel Road,Warren,New Jersey,07059,(908) 595-0050,www.thefalcongroup.us,info@thefalcongroup.us,Warren,1997,"Engineering, Architecture, Capital Reserve Specialists",,Private,,55,,140,22400000,19308090,26600000,Andrew,A.,Amorosi,,Principal,,,Universal Employees: Source: # Employees (2023);  Universal Revenue: Source: Revenue volume (2022)
The Falcon Group,95 Mount Bethel Road,Warren,New Jersey,07052,Somerset,95 Mount Bethel Road,Warren,New Jersey,07059,(908) 595-0050,www.thefalcongroup.us,info@thefalcongroup.us,Warren,1997,"Engineering, Architecture, Capital Reserve Specialists",,Private,,55,,140,22400000,19308090,26600000,William,J.,Pyznar,,Principal,,,Universal Employees: Source: # Employees (2023);  Universal Revenue: Source: Revenue volume (2022)
The Falcon Group,95 Mount Bethel Road,Warren,New Jersey,07052,Somerset,95 Mount Bethel Road,Warren,New Jersey,07059,(908) 595-0050,www.thefalcongroup.us,info@thefalcongroup.us,Warren,1997,"Engineering, Architecture, Capital Reserve Specialists",,Private,,55,,140,22400000,19308090,26600000,Steven,,Lang,,Principal,slang@dancker.com,,Universal Employees: Source: # Employees (2023);  Universal Revenue: Source: Revenue volume (2022)
The Falcon Group,95 Mount Bethel Road,Warren,New Jersey,07052,Somerset,95 Mount Bethel Road,Warren,New Jersey,07059,(908) 595-0050,www.thefalcongroup.us,info@thefalcongroup.us,Warren,1997,"Engineering, Architecture, Capital Reserve Specialists",,Private,,55,,140,22400000,19308090,26600000,Anthony,,Volpe,,Principal,,,Universal Employees: Source: # Employees (2023);  Universal Revenue: Source: Revenue volume (2022)
Family First Funding LLC,"215 Main St., Suite 2A",Toms River,New Jersey,08753,Ocean,,,,,(732) 505-4600,www.fam1fund.com,,,2012,,,,,,,,,,,Neusa,,Gillen,,Director of operations,,,
Family First Funding LLC,"215 Main St., Suite 2A",Toms River,New Jersey,08753,Ocean,,,,,(732) 505-4600,www.fam1fund.com,,,2012,,,,,,,,,,,Scott,,Weikel,,CEO,,,
Family First Funding LLC,"215 Main St., Suite 2A",Toms River,New Jersey,08753,Ocean,,,,,(732) 505-4600,www.fam1fund.com,,,2012,,,,,,,,,,,Gabriel,,Gillen,,President,,,
Farrell Flynne,"251 North Ave. W., 2nd Floor",Westfield,New Jersey,07090,Union,,,,,(609) 234-3417,farrellflynne.com,,Westfield,2017,FFE/OSE Procurement,,Private,,4,,3,3916000,3400000,7385310,James,Farrell,Keenoy,,President,JK@FarrellFlynne.com,,"Universal Employees: Source: # Employees, Statewide (2023);  Universal Revenue: Source: Revenue volume (2022)"
Fedway Associates and Affiliated Cos.,20 North Ave. E.,Elizabeth,New Jersey,07201,Union,,,,,(973) 624-6444,www.fedway.com,,,1934,"Wine and spirits, real estate, logistics and trucking",,Private,,1000,,1000,1413305000,1276997135,1445869304,Ralph,,Ippolito,,President Trucking and Logistics,,,Universal Employees: Source: # Employees (2023);  Universal Revenue: Source: Revenue volume (2022)
Fedway Associates and Affiliated Cos.,20 North Ave. E.,Elizabeth,New Jersey,07201,Union,,,,,(973) 624-6444,www.fedway.com,,,1934,"Wine and spirits, real estate, logistics and trucking",,Private,,1000,,1000,1413305000,1276997135,1445869304,Robert,,Sansone,,"Executive Vice President, Wines and Spirits and Real Estate",,,Universal Employees: Source: # Employees (2023);  Universal Revenue: Source: Revenue volume (2022)
Fedway Associates and Affiliated Cos.,20 North Ave. E.,Elizabeth,New Jersey,07201,Union,,,,,(973) 624-6444,www.fedway.com,,,1934,"Wine and spirits, real estate, logistics and trucking",,Private,,1000,,1000,1413305000,1276997135,1445869304,Max,,Leventhal,,Director of Business Development,MLeventhal@fedway.com,9736246444,Universal Employees: Source: # Employees (2023);  Universal Revenue: Source: Revenue volume (2022)
Fedway Associates and Affiliated Cos.,20 North Ave. E.,Elizabeth,New Jersey,07201,Union,,,,,(973) 624-6444,www.fedway.com,,,1934,"Wine and spirits, real estate, logistics and trucking",,Private,,1000,,1000,1413305000,1276997135,1445869304,John,,Devin,,President Wines and Spirits,,,Universal Employees: Source: # Employees (2023);  Universal Revenue: Source: Revenue volume (2022)
Ferring Pharmaceuticals,100 Interpace Parkway,Parsippany,New Jersey,07054,Morris,,,,,(973) 796-1600,www.ferringusa.com,,,,,,Private,,495,,,,,,Brent,,Ragans,,President,,,
Finance of America Mortgage LLC,"300 Welsh Road, Bldg. 5",Horsham,Pennsylvania,19044,Montgomery,,,,,(215) 591-0222,www.foamortgage.com,info@financeofamerica.com,,1994,,,Private,,,,,,,,Bruno,,Pasceri,,President,,,
Financial Resources Federal Credit Union,"520 Route 22, Suite 1",Bridgewater,New Jersey,08807,Somerset,P.O. Box 6999,,,,(800) 933-3280,www.myfinancialresources.org,frfcu@finresc.org,,1950,,,Nonprofit,,91,,86,,,,Lena,,Matthews,,CEO,,,"Universal Employees: Source: # Employees, Statewide (2023)"
Finwise Bank,820 E. 9400 S.,Sandy,Utah,84094,Salt Lake,,,,,(801) 545-6000,www.finwisebank.com,,,2000,,,,,,,,,,,Kent,,Landvatter,,President and CEO,,,
First and Last PR,"150 Bay St., #821",Jersey City,New Jersey,07302,Hudson,"150 Bay St., #821",Jersey City,New Jersey,07302,(201) 569-2080,www.firstandlastpr.com,hello@firstandlastpr.com,Jersey City,2012,Public relations & digital marketing company founded by a former beauty editor turned global comms pro to provide comms support to top CPG companies.,Certified Minority-owned; Certified Woman-owned,Private,,,,10,5000000,5000000,5000000,Stephanie,,Scott-Bradshaw,,CEO and Communicator-in-Chief,hello@firstandlastpr.com,(201) 569-2080,"Universal Employees: Source: # Employees, Statewide (2023);  Universal Revenue: Source: Revenue volume (2022)"
First Atlantic Federal Credit Union,468 Industrial Way W.,Eatontown,New Jersey,07724-2210,Monmouth,,,,,(732) 380-3600,www.fafcu.com,justing@fafcu,,1935,,,,,46,,49,,,,E.,John,Culp,II,President & CEO,,,"Universal Employees: Source: # Employees, Statewide (2023)"
First Bank,2465 Kuser Road,Hamilton,New Jersey,08609,Mercer,,,,,(609) 528-4400,www.firstbanknj.com,,,2007,,,,,,,,,,,Patrick,,Ryan,,President and CEO,,,"Company name: Announced Dec. 14, 2022,First Bank and Malvern Bancorp Inc. entered into a definitive merger agreement under which the New Jersey institution will acquire the Pennsylvania-based parent company of Malvern Bank; the deal is expected to close in the second quarter of 2023."
First Bank of the Lake,"4558 Osage Beach Parkway, #100",Osage Beach,Missouri,65065,Camden,,,,,(573) 348-2265,www.fblake.bank,,,1985,,,,,,,,,,,,,,,,,,
First Commerce Bank,105 River Ave.,Lakewood,New Jersey,08701,Ocean,,Lakewood,,,(732) 364-0032,www.firstcommercebank.net,contactus@firstcommercebank.net,,2002,,,,,,,,,,,C. Herbert,,Schneider,,President and CEO,,,
First Financial Credit Union,391 Route 9,Freehold,New Jersey,07728-8562,Monmouth,,,,,(732) 312-1500,www.firstffcu.com,info@firstffcu.com,,1936,,,Nonprofit,,46,,41,,,,Issa,E.,Stephan,,,,,"Universal Employees: Source: # Employees, Statewide (2023)"
First Harvest Credit Union,1615 Hurffville Road,Deptford,New Jersey,08096,Gloucester,P.O. Box 5530,,,,(856) 374-9700,www.firstharvestcu.com,Info@southjerseyfcu.com,,1940,Credit Unions,,,,128,,128,,,,Ernest,,Huggard,,,,,"Universal Employees: Source: # Employees, Statewide (2023)"
First Home Bank,9190 Seminole Blvd.,Seminole,Florida,33775,Pinellas,,,,,(727) 394-2265,www.firsthomebank.com,,,1999,,,,,,,,,,,Anthony,N.,Leo,,Chief executive officer,,,
First Home Bank,9190 Seminole Blvd.,Seminole,Florida,33775,Pinellas,,,,,(727) 394-2265,www.firsthomebank.com,,,1999,,,,,,,,,,,Thomas,G.,Zernick,,"President, SBA Lending Division",,,
"First Hope Bank, a National Banking Association",1301 Hope-Bridgeville Road,Hope,New Jersey,07844,Warren,,,,,(908) 459-4121,www.firsthope.com,info@firsthope.com,,1911,,,Private,,,,,,,,Donald,,Somma,,President,,,
First IC Bank,,,Georgia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
First Industrial Realty Trust,"43 Route 46 E., Suite 701",Pine Brook,New Jersey,07058,Morris,P. O. Box 600,,,,(973) 227-6600,www.firstindustrial.com,info@firstindustrial.com,Chicago,1994,"Industrial, Warehouse",,Public,,,,165,,,,John,,Hanlon,,Executive Director,jhanlon@firstindustrial.com,,Universal Employees: Source: # Employees (2023)
First Industrial Realty Trust,"43 Route 46 E., Suite 701",Pine Brook,New Jersey,07058,Morris,P. O. Box 600,,,,(973) 227-6600,www.firstindustrial.com,info@firstindustrial.com,Chicago,1994,"Industrial, Warehouse",,Public,,,,165,,,,Glenn,,Buie,,Director of Operations,,,Universal Employees: Source: # Employees (2023)
First National Bank of Absecon,106 New Jersey Ave.,Absecon,New Jersey,08201-0324,Atlantic,P.O. Box 324,,,,(609) 641-6300,www.fnbasecon.com,,,1916,,,Private,,,,,,,,Harry,,Elwell,III,CEO,,,
The First National Bank of Elmer,10 S. Main St.,Elmer,New Jersey,08318,Salem,,,,,(856) 358-8141,www.elmerbank.com,,,1903,,,Public,,,,,,,,Brian,,Jones,,President and CEO,,,
First Tek Inc.,"371 Hoes Lane, Suite 201",Piscataway,New Jersey,08854,Middlesex,,,,,(732) 745-0700,www.first-tek.com,mariam.faisal@first-tek.com,,2001,IT consulting services,,Private,,,,,73000000,73000000,,Satyakumar,,Bhavanasi,,CEO/President,kumar@first-tek.com,,Revenue volume 2021 Companywide: 2021 NJBIZ Lists data; requests for 2022 information were not returned prior to press deadline.
Firstrust Savings Bank,600 N. Route 73,Marlton,New Jersey,08053,Burlington,,,,,(856) 596-5965,www.firstrust.com,,,1934,,,,,,,,,,,Richard,J.,Green,,President & CEO,,,
Fisher Phillips LLP,"430 Mountain Ave., Suite 303",Murray Hill,New Jersey,07974,Union,"430 Mountain Ave., Suite 303",Murray Hill,New Jersey,07974,(908) 516-1050,www.fisherphillips.com,info@fisherphillips.com,Atlanta,1943,Fisher Phillips is a national labor and employment firm providing practical business solutions for employers' workplace legal problems.,,Private,,,,27,,,,Roger,K.,Quillen,,Chairman,rquillen@fisherphillips.com,,"Universal Employees: Source: # Employees, Statewide (2023)"
Fisher Phillips LLP,"430 Mountain Ave., Suite 303",Murray Hill,New Jersey,07974,Union,"430 Mountain Ave., Suite 303",Murray Hill,New Jersey,07974,(908) 516-1050,www.fisherphillips.com,info@fisherphillips.com,Atlanta,1943,Fisher Phillips is a national labor and employment firm providing practical business solutions for employers' workplace legal problems.,,Private,,,,27,,,,Phillip,,Bauknight,,Partner,pbauknight@fisherphillips.com,,"Universal Employees: Source: # Employees, Statewide (2023)"
Fisher Phillips LLP,"430 Mountain Ave., Suite 303",Murray Hill,New Jersey,07974,Union,"430 Mountain Ave., Suite 303",Murray Hill,New Jersey,07974,(908) 516-1050,www.fisherphillips.com,info@fisherphillips.com,Atlanta,1943,Fisher Phillips is a national labor and employment firm providing practical business solutions for employers' workplace legal problems.,,Private,,,,27,,,,David,S.,Lichtenberg,,Regional Managing Partner,dlichtenberg@fisherphillips.com,,"Universal Employees: Source: # Employees, Statewide (2023)"
Five Star Bank,,,California,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Flaster Greenberg P.C.,1810 Chapel Ave. W.,Cherry Hill,New Jersey,08002,Camden,,,,,(856) 661-1900,www.flastergreenberg.com,FlasterGreenberg@flastergreenberg.com,Cherry Hill,1972,"A full-service, commercial business law firm serving clients across a range of industries in the public, private, government and nonprofit sectors.",Headquarters,Private,,56,,123,0,0,,Stephen,S.,Poulathas,,Co-Managing Shareholder,steven.poulathas@flastergreenberg.com,,Universal Employees: Source: # Employees (2023)
Flexline Inc.,11 Columbus Ave.,Kenilworth,New Jersey,07033,Union,,,,,(908) 486-3322,www.flexline.com,sales@flexline.com,,1950,,,Private,,25,,25,,,,Jeffrey,,Scheininger,,President,Jeff@flexline.com,,"Universal Employees: Source: # Employees, Statewide (2023)"
Foley Publishing DBA BARTENDER Magazine,174 Summit Ave.,Summit,New Jersey,07921,Union,P.O. Box 651,Short Hills,New Jersey,07078,(908) 510-2234,www.bartender.com,barmag2@gmail.com,,1979,"Publish a quarterly trade magazine for restaurants, bars, clubs and any establishment that serves a mixed drink on premise",,Private,,,,5,,,352000,Jaclyn,,Foley,,Publisher,barmag2@gmail.com,,"Universal Employees: Source: # Employees, Statewide (2023);  Universal Revenue: Source: Revenue volume (2022)"
The Folke Institute Inc.,,High Bridge,New Jersey,08829,Hunterdon,P.O. Box 204,,,,(908) 310-8779,www.thefolkeinstitute.com,info@thefolkeinstitute.com,Annandale,2004,"Consulting, Research & Training Firm",,Private,,0,,1,225000,26110,165000,Carrie,,Spell-Hansson,,CEO,carrie@thefolkeinstitute.com,9083108779,"Universal Employees: Source: # Employees, Statewide (2023);  Universal Revenue: Source: Revenue volume (2022)"
Food and Commercial Workers Local Union 1262,1389 Broad St.,Clifton,New Jersey,07013-4221,Passaic,,,,,(973) 777-3700,www.ufcw1262.org,,,1941,Supermarket retail,,,,,,,,,,Harvey,,Whille,,President,,,
Food and Commercial Workers Local Union 152,"3120 Fire Road, #201",Egg Harbor Township,New Jersey,08234,Atlantic,,,,,(888) 564-6152,www.ufcwlocal152.org,,,1979,Retail,,,,,,,,,,Brian,,String,,President,,,
Food and Commercial Workers Local Union 312,"400 State Route 34, Suite D",Matawan,New Jersey,07747,Monmouth,,,,,(732) 549-1010,www.ufcw312.org,info@ufcw312.org,,1979,Retail,,,,,,,,,,Robert,,LaSalle,,President,,,
Food and Commercial Workers Local Union 360,400 Commerce Lane,West Berlin,New Jersey,08091,Camden,,,,,(856) 767-4001,www.ufcw1360.info,websteward@ufcw1360.org,,1947,Retail,,,,,,,,,,Salvatore,,Ferraino,Jr.,,,,
Food and Commercial Workers Local Union 464,245 Paterson Ave.,Little Falls,New Jersey,07424-1607,Passaic,,,,,(973) 256-6790,www.ufcw464a.org,ufcw464a@erols.com,,1939,Retail,,,,,,,,,,John,,Niccollai,,President,,,
Food and Commercial Workers Local Union 888,160 E. Union Ave.,East Rutherford,New Jersey,07073,Bergen,,,,,(800) 223-1503,www.ufcw888.org,info@ufcw888.org,,1957,Retail,,,,,,,,,,Ernestine,,Dawkins,,President,,,
Food Co. Catering & Special Events,"32 Littell Road, Suite 7d-8a",East Hanover,New Jersey,07936,Morris,,,,,(973) 887-8870,www.foodcompanycatering.com,pali@foodcompanycatering.com,,1997,,,Private,,36,,36,850000,400000,1300000,Douglas,W.,Ingber,,Executive Chef,dwi@foodcompanycatering.com,,"Universal Employees: Source: # Employees, Statewide (2023);  Universal Revenue: Source: Revenue volume (2022)"
Food Co. Catering & Special Events,"32 Littell Road, Suite 7d-8a",East Hanover,New Jersey,07936,Morris,,,,,(973) 887-8870,www.foodcompanycatering.com,pali@foodcompanycatering.com,,1997,,,Private,,36,,36,850000,400000,1300000,Patricia,,Lindridge-Ingber,,President,pali@foodcompanycatering.com,(973) 887-8870,"Universal Employees: Source: # Employees, Statewide (2023);  Universal Revenue: Source: Revenue volume (2022)"
Food Co. Catering & Special Events,"32 Littell Road, Suite 7d-8a",East Hanover,New Jersey,07936,Morris,,,,,(973) 887-8870,www.foodcompanycatering.com,pali@foodcompanycatering.com,,1997,,,Private,,36,,36,850000,400000,1300000,Patricia,A.,Lindridge-Ingber,,Owner,pali@foodcompanycatering.com,,"Universal Employees: Source: # Employees, Statewide (2023);  Universal Revenue: Source: Revenue volume (2022)"
Forman Holt,"365 W. Passaic St.,Suite 400",Rochelle Park,New Jersey,07662,Bergen,"365 W. Passaic St., Suite 400",Rochelle Park,New Jersey,07662,(201) 845-1000,www.formanlaw.com,firm@formanlaw.com,Rochelle Park,2017,,,Private,,,,10,,,,Charles,M.,Forman,,Managing Member,cforman@formanlaw.com,,"Universal Employees: Source: # Employees, Statewide (2023)"
Forman Holt,"365 W. Passaic St.,Suite 400",Rochelle Park,New Jersey,07662,Bergen,"365 W. Passaic St., Suite 400",Rochelle Park,New Jersey,07662,(201) 845-1000,www.formanlaw.com,firm@formanlaw.com,Rochelle Park,2017,,,Private,,,,10,,,,Erin,J.,Kennedy,,Member,ekennedy@formanlaw.com,,"Universal Employees: Source: # Employees, Statewide (2023)"
Forman Holt,"365 W. Passaic St.,Suite 400",Rochelle Park,New Jersey,07662,Bergen,"365 W. Passaic St., Suite 400",Rochelle Park,New Jersey,07662,(201) 845-1000,www.formanlaw.com,firm@formanlaw.com,Rochelle Park,2017,,,Private,,,,10,,,,Michael,E.,Holt,,Member,mholt@formanlaw.com,,"Universal Employees: Source: # Employees, Statewide (2023)"
Fortis Consulting Group LLC,"4000 Route 66, Suite 318",Tinton Falls,New Jersey,07753,Monmouth,"4000 Route 66, Suite 318",Tinton Falls,New Jersey,07753,(732) 918-8060,www.fortisllc.com,info@fortisllc.com,,2000,Accounting and Finance Recruiting Firm (Permanent and Temporary),,Private,,,,10,2554000,3453000,3411000,Frankie,,Francese,,Managing Partner,ffrancese@fortisllc.com,(732) 918-8060,"Universal Employees: Source: # Employees, Statewide (2023);  Universal Revenue: Source: Revenue volume (2022)"
Fortis Consulting Group LLC,"4000 Route 66, Suite 318",Tinton Falls,New Jersey,07753,Monmouth,"4000 Route 66, Suite 318",Tinton Falls,New Jersey,07753,(732) 918-8060,www.fortisllc.com,info@fortisllc.com,,2000,Accounting and Finance Recruiting Firm (Permanent and Temporary),,Private,,,,10,2554000,3453000,3411000,Remi,,Pauwels,,Partner,rpauwels@fortisllc.com,,"Universal Employees: Source: # Employees, Statewide (2023);  Universal Revenue: Source: Revenue volume (2022)"
Fox Rothschild LLP,"Princeton Pike Corporate Center, 997 Lenox Drive",Lawrenceville,New Jersey,08648-2311,Mercer,"997 Lenox Drive, Bldg. 3",Lawrenceville,New Jersey,08648-2311,(609) 896-3600,www.foxrothschild.com,marketing.communications@foxrothschild.com,Philadelphia,1907,Fox Rothschild LLP is a law firm with more than 1000 attorneys nationwide providing a full range of legal services to public and private companies.,,Private,,,,246,647810000,,675667000,Eileen,Oakes,Muskett,,Atlantic City Office Managing Partner,emuskett@foxrothschild.com,,"Universal Employees: Source: # Employees, Statewide (2023);  Universal Revenue: Source: Revenue volume (2022)"
Fox Rothschild LLP,"Princeton Pike Corporate Center, 997 Lenox Drive",Lawrenceville,New Jersey,08648-2311,Mercer,"997 Lenox Drive, Bldg. 3",Lawrenceville,New Jersey,08648-2311,(609) 896-3600,www.foxrothschild.com,marketing.communications@foxrothschild.com,Philadelphia,1907,Fox Rothschild LLP is a law firm with more than 1000 attorneys nationwide providing a full range of legal services to public and private companies.,,Private,,,,246,647810000,,675667000,Gerard,P.,Norton,,"Princeton 
Office Managing Partner",gnorton@foxrothschild.com,,"Universal Employees: Source: # Employees, Statewide (2023);  Universal Revenue: Source: Revenue volume (2022)"
Fox Rothschild LLP,"Princeton Pike Corporate Center, 997 Lenox Drive",Lawrenceville,New Jersey,08648-2311,Mercer,"997 Lenox Drive, Bldg. 3",Lawrenceville,New Jersey,08648-2311,(609) 896-3600,www.foxrothschild.com,marketing.communications@foxrothschild.com,Philadelphia,1907,Fox Rothschild LLP is a law firm with more than 1000 attorneys nationwide providing a full range of legal services to public and private companies.,,Private,,,,246,647810000,,675667000,Catherine,,Youngman,,Morristown Office Managing Partner,cyoungman@foxrothschild.com,,"Universal Employees: Source: # Employees, Statewide (2023);  Universal Revenue: Source: Revenue volume (2022)"
Fox Rothschild LLP,"Princeton Pike Corporate Center, 997 Lenox Drive",Lawrenceville,New Jersey,08648-2311,Mercer,"997 Lenox Drive, Bldg. 3",Lawrenceville,New Jersey,08648-2311,(609) 896-3600,www.foxrothschild.com,marketing.communications@foxrothschild.com,Philadelphia,1907,Fox Rothschild LLP is a law firm with more than 1000 attorneys nationwide providing a full range of legal services to public and private companies.,,Private,,,,246,647810000,,675667000,Marie,Jiacopello,Jones,,Atlantic City Office Managing Partner,mjones@foxrothschild.com,,"Universal Employees: Source: # Employees, Statewide (2023);  Universal Revenue: Source: Revenue volume (2022)"
Fox Rothschild LLP,"Princeton Pike Corporate Center, 997 Lenox Drive",Lawrenceville,New Jersey,08648-2311,Mercer,"997 Lenox Drive, Bldg. 3",Lawrenceville,New Jersey,08648-2311,(609) 896-3600,www.foxrothschild.com,marketing.communications@foxrothschild.com,Philadelphia,1907,Fox Rothschild LLP is a law firm with more than 1000 attorneys nationwide providing a full range of legal services to public and private companies.,,Private,,,,246,647810000,,675667000,Vincent,A.,Vietti,,Princeton Office Managing Partner,vvietti@foxrothschild.com,,"Universal Employees: Source: # Employees, Statewide (2023);  Universal Revenue: Source: Revenue volume (2022)"
Frank H. Lehr Associates,101 S. Harrison St.,East Orange,New Jersey,07018,Essex,,,,,(973) 673-2520,www.fhlehr.com,Info@FHLehr.com,,1957,"Consulting Civil, Geotechnical and Structural Engineers",Locally owned,Private,,12,,12,1855000,,1682000,Michael,,Sullivan,,,,,"Universal Employees: Source: # Employees, Statewide (2023);  Universal Revenue: Source: Revenue volume (2022)"
Frank H. Lehr Associates,101 S. Harrison St.,East Orange,New Jersey,07018,Essex,,,,,(973) 673-2520,www.fhlehr.com,Info@FHLehr.com,,1957,"Consulting Civil, Geotechnical and Structural Engineers",Locally owned,Private,,12,,12,1855000,,1682000,Richard,,Adelsohn,,,,,"Universal Employees: Source: # Employees, Statewide (2023);  Universal Revenue: Source: Revenue volume (2022)"
Frank H. Lehr Associates,101 S. Harrison St.,East Orange,New Jersey,07018,Essex,,,,,(973) 673-2520,www.fhlehr.com,Info@FHLehr.com,,1957,"Consulting Civil, Geotechnical and Structural Engineers",Locally owned,Private,,12,,12,1855000,,1682000,Louis,G.,Adelsohn,,President,jerrya@fhlehr.com,,"Universal Employees: Source: # Employees, Statewide (2023);  Universal Revenue: Source: Revenue volume (2022)"
Franklin Bank,1179 Route 40,Woodstown,New Jersey,08098-0230,Salem,P.O. Box 230,,,,(856) 769-4400,www.franklinsavingsbank.com,,,1861,,,Private,,,,,,,,Thomas,J.,Murray,,President and CEO,tmurray@franklinbnk.com,,
Fraytak Veisz Hopkins Duthie P.C. (FVHD Architects-Planners),1515 Lower Ferry Road,Trenton,New Jersey,08618,Mercer,,,,,(609) 883-7101,www.FVHDPC.com,info@fvhdpc.com,,1918,"Architecture, planning, interior and roofing design firm providing creative, responsive, cost-effective and sustainable solutions",,Private,,24,,,5268239,,,William,D.,Hopkins,III,Principal,thopkins@fvhdpc.com,,
Fraytak Veisz Hopkins Duthie P.C. (FVHD Architects-Planners),1515 Lower Ferry Road,Trenton,New Jersey,08618,Mercer,,,,,(609) 883-7101,www.FVHDPC.com,info@fvhdpc.com,,1918,"Architecture, planning, interior and roofing design firm providing creative, responsive, cost-effective and sustainable solutions",,Private,,24,,,5268239,,,George,R.,Duthie,Jr.,Principal,"gduthie@fvhdpc,com",,
Freedom Bank,99 W. Essex St.,Maywood,New Jersey,07607,Bergen,,,,,(201) 599-3000,www.freedombanknj.com,,,,,,,,,,,,,,Matthew,,Curcich,,President and CEO,,,
Freedom Mortgage Corp.,"907 Pleasant Valley Ave., Suite 3",Mount Laurel,New Jersey,08054,Burlington,,,,,(866) 759-8624,www.freedommortgage.com,letushelp@freedommortgage.com,,1990,"Full-service mortgage banker licensed in all 50 states, the District of Columbia, Puerto Rico and the U. S. Virgin Islands. Freedom Mortgage is a leader in Government backed and VA mortgage lending.",,Private,,,,,,,,Stanley,C.,Middleman,,President and CEO,,,
